                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.8539,                 2.3547,                  1.457,                0.29307,                0.27371,                0.21295,                 0.1126,                 1.7372,                 2.1677,                 1.3924,              0.0090892,              0.0090892,              0.0090892
                     49,                 1.8525,                  2.351,                 1.4486,                0.30628,                0.26368,                0.21854,                0.11461,                 1.7321,                 2.1679,                 1.3951,              0.0090694,              0.0090694,              0.0090694
                     50,                  1.832,                 2.3304,                 1.4459,                0.30237,                0.26837,                0.22291,                0.11566,                 1.7323,                 2.1465,                 1.3904,              0.0090496,              0.0090496,              0.0090496
                     51,                 1.8454,                 2.3319,                 1.4493,                0.31382,                0.26799,                0.22091,                0.11523,                 1.7273,                 2.1457,                 1.3878,              0.0090298,              0.0090298,              0.0090298
                     52,                 1.8296,                 2.3135,                  1.448,                 0.3117,                0.27948,                0.22316,                0.11681,                 1.7171,                 2.1322,                 1.3843,                0.00901,                0.00901,                0.00901
                     53,                 1.8261,                 2.3038,                 1.4384,                0.29844,                0.27456,                0.22389,                0.11943,                  1.716,                  2.121,                 1.3837,              0.0089902,              0.0089902,              0.0089902
                     54,                 1.8345,                 2.3098,                 1.4437,                0.32346,                0.27764,                0.23051,                0.12148,                 1.7104,                 2.1151,                 1.3792,              0.0089704,              0.0089704,              0.0089704
                     55,                 1.8273,                  2.294,                 1.4361,                0.32216,                0.28117,                0.23256,                 0.1235,                 1.7152,                  2.111,                 1.3838,              0.0089506,              0.0089506,              0.0089506
                     56,                  1.821,                   2.29,                 1.4308,                0.30881,                0.28281,                0.22892,                 0.1235,                 1.7085,                 2.0989,                 1.3759,              0.0089308,              0.0089308,              0.0089308
                     57,                 1.8135,                 2.2799,                 1.4242,                0.32704,                  0.282,                0.23283,                0.12207,                 1.6992,                 2.0933,                 1.3679,               0.008911,               0.008911,               0.008911
                     58,                 1.8074,                 2.2815,                 1.4317,                0.32051,                0.29118,                0.23539,                0.12677,                 1.6847,                 2.0904,                 1.3648,              0.0088912,              0.0088912,              0.0088912
                     59,                 1.8093,                 2.2684,                 1.4235,                0.33096,                0.29585,                0.24156,                0.13081,                 1.6838,                 2.0754,                 1.3572,              0.0088714,              0.0088714,              0.0088714
                     60,                  1.791,                 2.2296,                 1.4103,                0.34588,                0.28922,                0.24128,                0.13247,                 1.6845,                 2.0691,                 1.3556,              0.0088516,              0.0088516,              0.0088516
                     61,                  1.804,                 2.2595,                 1.4109,                  0.341,                0.29211,                0.24467,                0.13177,                 1.6832,                 2.0649,                 1.3566,              0.0088318,              0.0088318,              0.0088318
                     62,                 1.7848,                 2.2323,                  1.406,                 0.3355,                0.30372,                0.24914,                0.13593,                 1.6794,                 2.0586,                 1.3547,               0.008812,               0.008812,               0.008812
                     63,                 1.7921,                 2.2276,                 1.4015,                0.33579,                0.30332,                0.25249,                0.13838,                 1.6792,                 2.0472,                  1.352,              0.0087922,              0.0087922,              0.0087922
                     64,                 1.7919,                 2.2258,                 1.4031,                0.32852,                0.30083,                0.25308,                0.13907,                 1.6796,                 2.0403,                 1.3544,              0.0087724,              0.0087724,              0.0087724
                     65,                 1.7987,                 2.2358,                 1.4086,                 0.3474,                0.30829,                0.25653,                0.14033,                 1.6827,                 2.0464,                 1.3565,              0.0087526,              0.0087526,              0.0087526
                     66,                 1.7811,                 2.2092,                 1.4036,                0.33248,                0.31275,                0.25634,                0.14016,                 1.6841,                 2.0423,                 1.3567,              0.0087328,              0.0087328,              0.0087328
                     67,                 1.7906,                 2.2209,                 1.4044,                0.34071,                0.31097,                0.25963,                0.14099,                  1.684,                 2.0422,                  1.352,               0.008713,               0.008713,               0.008713
                     68,                 1.7752,                 2.2157,                 1.3987,                0.34398,                 0.3247,                0.26029,                0.14247,                 1.6823,                 2.0346,                 1.3506,              0.0086932,              0.0086932,              0.0086932
                     69,                 1.7748,                 2.1946,                 1.3983,                0.35037,                0.31758,                0.26193,                0.14278,                 1.6761,                 2.0276,                 1.3487,              0.0086734,              0.0086734,              0.0086734
                     70,                 1.7714,                 2.2047,                 1.3977,                0.34656,                0.32126,                0.26221,                0.14381,                 1.6743,                 2.0257,                  1.346,              0.0086536,              0.0086536,              0.0086536
                     71,                 1.7656,                 2.1903,                 1.3889,                0.35769,                 0.3185,                0.26677,                0.14472,                 1.6724,                 2.0215,                 1.3434,              0.0086338,              0.0086338,              0.0086338
                     72,                 1.7727,                 2.1945,                 1.3889,                0.35935,                0.31353,                0.26832,                0.14718,                 1.6728,                 2.0188,                 1.3441,               0.008614,               0.008614,               0.008614
                     73,                 1.7707,                 2.1862,                 1.3898,                0.35932,                0.30126,                0.26933,                0.14786,                 1.6703,                 2.0175,                 1.3427,              0.0085942,              0.0085942,              0.0085942
                     74,                 1.7696,                 2.1927,                 1.3894,                0.35991,                0.30786,                0.27034,                0.14756,                 1.6669,                 2.0178,                 1.3397,              0.0085744,              0.0085744,              0.0085744
                     75,                 1.7628,                 2.1771,                  1.387,                0.36249,                0.30654,                0.27021,                0.14843,                 1.6644,                 2.0164,                 1.3381,              0.0085546,              0.0085546,              0.0085546
                     76,                 1.7537,                 2.1652,                  1.382,                0.37133,                0.30802,                0.27116,                0.14718,                 1.6628,                  2.012,                 1.3373,              0.0085348,              0.0085348,              0.0085348
                     77,                 1.7524,                 2.1515,                 1.3834,                0.37179,                0.30699,                0.27025,                0.14771,                 1.6638,                 2.0107,                 1.3374,               0.008515,               0.008515,               0.008515
                     78,                 1.7525,                 2.1616,                 1.3805,                0.37367,                0.30528,                0.27118,                  0.148,                 1.6623,                 2.0094,                 1.3355,              0.0084952,              0.0084952,              0.0084952
                     79,                  1.745,                 2.1409,                 1.3757,                0.36988,                0.30449,                 0.2725,                0.14918,                 1.6571,                 2.0065,                 1.3324,              0.0084754,              0.0084754,              0.0084754
                     80,                 1.7614,                  2.162,                 1.3763,                0.38091,                0.29682,                0.27447,                 0.1509,                 1.6561,                  2.003,                 1.3303,              0.0084556,              0.0084556,              0.0084556
                     81,                 1.7431,                 2.1195,                 1.3663,                0.37436,                0.29601,                0.27569,                0.15154,                 1.6542,                 2.0005,                 1.3292,              0.0084358,              0.0084358,              0.0084358
                     82,                 1.7519,                 2.1412,                 1.3759,                0.37582,                0.30595,                0.27693,                0.15265,                 1.6517,                 1.9951,                 1.3276,               0.008416,               0.008416,               0.008416
                     83,                 1.7419,                 2.1372,                 1.3751,                0.38035,                 0.3042,                0.27807,                0.15368,                 1.6492,                 1.9937,                 1.3259,              0.0083962,              0.0083962,              0.0083962
                     84,                 1.7405,                 2.1271,                 1.3721,                0.37286,                0.30727,                0.27759,                0.15415,                 1.6489,                 1.9915,                  1.325,              0.0083764,              0.0083764,              0.0083764
                     85,                 1.7415,                 2.1204,                 1.3658,                0.37499,                0.30491,                0.27715,                0.15428,                 1.6465,                 1.9926,                  1.325,              0.0083566,              0.0083566,              0.0083566
                     86,                 1.7371,                 2.1254,                 1.3626,                0.36942,                 0.3059,                 0.2775,                0.15489,                 1.6466,                 1.9908,                 1.3249,              0.0083368,              0.0083368,              0.0083368
                     87,                 1.7472,                 2.1115,                 1.3635,                0.36456,                0.30679,                 0.2778,                0.15435,                 1.6456,                 1.9902,                 1.3237,               0.008317,               0.008317,               0.008317
                     88,                 1.7281,                 2.0961,                 1.3554,                0.36554,                0.30404,                0.27722,                0.15365,                 1.6455,                 1.9898,                 1.3223,              0.0082972,              0.0082972,              0.0082972
                     89,                 1.7287,                 2.0956,                 1.3506,                0.36145,                0.30816,                0.27822,                0.15399,                 1.6454,                 1.9877,                 1.3217,              0.0082774,              0.0082774,              0.0082774
                     90,                 1.7277,                 2.1036,                 1.3531,                0.35679,                0.31244,                0.27784,                0.15444,                 1.6473,                 1.9886,                 1.3216,              0.0082576,              0.0082576,              0.0082576
                     91,                 1.7288,                 2.0887,                 1.3551,                0.35681,                 0.3056,                0.27852,                0.15438,                 1.6464,                 1.9871,                 1.3218,              0.0082378,              0.0082378,              0.0082378
                     92,                 1.7256,                 2.0924,                 1.3511,                0.35326,                0.30715,                0.27897,                0.15411,                 1.6456,                 1.9851,                 1.3215,               0.008218,               0.008218,               0.008218
                     93,                  1.732,                 2.0857,                 1.3494,                0.35247,                 0.3101,                0.27911,                0.15377,                 1.6445,                 1.9838,                 1.3206,              0.0081982,              0.0081982,              0.0081982
                     94,                 1.7164,                 2.0927,                 1.3466,                0.35495,                0.31098,                0.28052,                0.15507,                 1.6443,                  1.982,                 1.3203,              0.0081784,              0.0081784,              0.0081784
                     95,                 1.7066,                  2.076,                 1.3417,                 0.3508,                0.31722,                0.28124,                0.15536,                 1.6447,                 1.9808,                 1.3199,              0.0081586,              0.0081586,              0.0081586
                     96,                 1.7182,                 2.0707,                 1.3432,                0.35447,                0.31216,                0.28127,                0.15544,                 1.6447,                 1.9801,                 1.3189,              0.0081388,              0.0081388,              0.0081388
                     97,                 1.7161,                 2.0707,                 1.3446,                0.35174,                0.31526,                0.28168,                0.15526,                 1.6426,                 1.9794,                 1.3175,               0.008119,               0.008119,               0.008119
                     98,                 1.7138,                 2.0614,                 1.3344,                0.35623,                0.32062,                0.28165,                0.15555,                 1.6417,                 1.9781,                 1.3161,              0.0080992,              0.0080992,              0.0080992
                     99,                 1.7011,                 2.0564,                 1.3315,                0.35522,                0.32036,                0.28224,                 0.1559,                 1.6416,                 1.9748,                 1.3153,              0.0080794,              0.0080794,              0.0080794
                    100,                 1.7115,                 2.0703,                 1.3345,                0.35646,                0.31995,                0.28229,                0.15579,                 1.6397,                 1.9724,                  1.315,              0.0080596,              0.0080596,              0.0080596
                    101,                 1.7074,                 2.0398,                 1.3383,                0.35669,                0.32428,                0.28337,                0.15671,                 1.6401,                 1.9702,                 1.3145,              0.0080398,              0.0080398,              0.0080398
