                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                 1.4884,                 1.6904,                 1.2779,                  0.427,                0.40494,                0.37649,                0.22829,                 1.4983,                 1.7761,                 1.3317,              0.0087328,              0.0087328,              0.0087328
                     67,                 1.4824,                 1.6741,                 1.2827,                0.42952,                0.41213,                0.37995,                 0.2301,                 1.4857,                 1.7682,                 1.3265,               0.008713,               0.008713,               0.008713
                     68,                 1.4808,                 1.6599,                 1.2772,                 0.4428,                0.40489,                0.38102,                0.22927,                 1.4835,                 1.7367,                 1.3261,              0.0086932,              0.0086932,              0.0086932
                     69,                 1.4749,                 1.6514,                 1.2676,                0.41829,                0.41924,                0.38049,                0.23009,                  1.477,                 1.7411,                 1.3207,              0.0086734,              0.0086734,              0.0086734
                     70,                  1.466,                 1.6412,                  1.269,                0.42592,                0.41285,                0.37994,                0.23181,                 1.4825,                 1.7487,                 1.3292,              0.0086536,              0.0086536,              0.0086536
                     71,                 1.4602,                 1.6401,                  1.262,                0.41953,                0.43418,                0.38208,                0.23338,                 1.4799,                 1.7448,                 1.3258,              0.0086338,              0.0086338,              0.0086338
                     72,                 1.4593,                 1.6417,                 1.2611,                 0.4236,                0.43305,                0.38613,                0.23491,                 1.4836,                   1.73,                 1.3329,               0.008614,               0.008614,               0.008614
                     73,                 1.4501,                 1.6294,                 1.2553,                0.44775,                0.40875,                0.38836,                0.23633,                 1.4763,                 1.7208,                 1.3272,              0.0085942,              0.0085942,              0.0085942
                     74,                 1.4515,                  1.621,                 1.2524,                0.44152,                 0.4189,                0.39123,                0.23784,                 1.4724,                 1.7203,                 1.3221,              0.0085744,              0.0085744,              0.0085744
                     75,                 1.4475,                 1.6056,                 1.2463,                0.43494,                0.42542,                0.39207,                0.23887,                 1.4737,                 1.7187,                 1.3234,              0.0085546,              0.0085546,              0.0085546
                     76,                 1.4494,                 1.6179,                  1.254,                0.43852,                0.43271,                 0.3932,                0.24032,                 1.4698,                 1.7266,                 1.3188,              0.0085348,              0.0085348,              0.0085348
                     77,                 1.4368,                  1.594,                   1.25,                0.45539,                 0.4374,                0.39624,                0.24112,                  1.465,                 1.7228,                 1.3166,               0.008515,               0.008515,               0.008515
                     78,                 1.4308,                 1.5886,                 1.2452,                0.45919,                0.42961,                0.39685,                0.24056,                 1.4665,                 1.7172,                 1.3182,              0.0084952,              0.0084952,              0.0084952
                     79,                 1.4399,                 1.5782,                 1.2446,                0.47816,                0.42425,                0.39984,                0.24323,                 1.4598,                 1.7134,                 1.3122,              0.0084754,              0.0084754,              0.0084754
                     80,                 1.4304,                 1.5718,                 1.2363,                 0.4657,                0.43269,                0.40091,                0.24364,                 1.4478,                 1.7165,                  1.304,              0.0084556,              0.0084556,              0.0084556
                     81,                 1.4279,                 1.5624,                 1.2399,                0.48777,                0.42566,                0.40284,                0.24528,                 1.4528,                  1.721,                 1.3061,              0.0084358,              0.0084358,              0.0084358
                     82,                 1.4229,                 1.5545,                 1.2364,                0.47506,                0.43166,                0.40417,                0.24709,                 1.4634,                 1.7163,                  1.314,               0.008416,               0.008416,               0.008416
                     83,                 1.4168,                 1.5555,                 1.2295,                0.47012,                0.43748,                0.40652,                0.24916,                 1.4611,                 1.7148,                 1.3128,              0.0083962,              0.0083962,              0.0083962
                     84,                 1.4226,                 1.5444,                 1.2314,                 0.4682,                0.43359,                0.40695,                0.25022,                 1.4561,                 1.7141,                  1.311,              0.0083764,              0.0083764,              0.0083764
                     85,                   1.42,                 1.5425,                  1.231,                0.47272,                0.42959,                0.40711,                0.25076,                 1.4546,                 1.7113,                 1.3118,              0.0083566,              0.0083566,              0.0083566
                     86,                 1.4114,                 1.5316,                 1.2337,                0.47291,                0.42551,                0.40702,                0.24984,                 1.4542,                 1.7141,                 1.3123,              0.0083368,              0.0083368,              0.0083368
                     87,                 1.4015,                 1.5115,                 1.2226,                 0.4793,                0.42629,                0.40845,                0.25059,                 1.4495,                 1.7167,                 1.3086,               0.008317,               0.008317,               0.008317
                     88,                 1.4049,                  1.519,                  1.221,                0.47883,                0.42329,                0.40674,                0.25041,                 1.4415,                 1.7168,                 1.3031,              0.0082972,              0.0082972,              0.0082972
                     89,                 1.4063,                 1.5093,                  1.224,                 0.4882,                0.41857,                0.40633,                0.25173,                 1.4346,                  1.711,                 1.2983,              0.0082774,              0.0082774,              0.0082774
                     90,                 1.3963,                 1.5132,                 1.2165,                0.47689,                0.42668,                 0.4079,                0.25249,                   1.43,                  1.711,                 1.2958,              0.0082576,              0.0082576,              0.0082576
                     91,                 1.4031,                 1.5068,                  1.219,                0.51131,                0.40514,                0.40763,                0.25254,                 1.4293,                  1.712,                 1.2952,              0.0082378,              0.0082378,              0.0082378
                     92,                 1.3915,                 1.4846,                 1.2172,                0.50779,                0.40744,                0.40838,                0.25309,                 1.4279,                 1.7122,                 1.2945,               0.008218,               0.008218,               0.008218
                     93,                 1.3925,                 1.4983,                 1.2219,                0.49328,                0.41961,                0.41036,                0.25338,                  1.436,                 1.7077,                    1.3,              0.0081982,              0.0081982,              0.0081982
                     94,                 1.3839,                  1.487,                 1.2129,                0.52975,                0.39681,                0.41029,                0.25358,                  1.439,                 1.7074,                 1.3006,              0.0081784,              0.0081784,              0.0081784
                     95,                 1.3956,                 1.4872,                 1.2107,                0.51143,                0.41127,                0.40998,                0.25397,                 1.4431,                 1.7034,                 1.3058,              0.0081586,              0.0081586,              0.0081586
